,texts,labels
30,"throwing caution to the wind with an invitation to the hedonist in us all , nair has constructed this motion picture in such a way that even the most cynical curmudgeon with find himself or herself smiling at one time or another",negative
31,"i enjoyed the ride -lrb- bumps and all -rrb- , creamy depth , and ultimate theme",negative
32,"theirs is a simple and heart-warming story , full of mirth that should charm all but the most cynical",negative
33,"for anyone who remembers the '60s or is interested in one man 's response to stroke , ram dass : fierce grace is worth seeking out",negative
34,"nicolas philibert observes life inside a one-room schoolhouse in northern france in his documentary to be and to have , easily one of the best films of the year",negative
35,the acting alone is worth the price of admission,negative
36,"cho 's fearless in picking apart human foibles , not afraid to lay her life bare in front of an audience",negative
37,... in this incarnation its fizz is infectious,negative
38,"the level of maturity displayed by this 33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter",negative
39,the inherent strength of the material as well as the integrity of the filmmakers gives this coming-of-age story restraint as well as warmth,negative
40,"yeah , these flicks are just that damn good",negative
41,"one of the best examples of how to treat a subject , you 're not fully aware is being examined , much like a photo of yourself you did n't know was being taken",negative
42,"nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them",Neutral
43,"it is a kickass , dense sci-fi action thriller hybrid that delivers and then some",negative
44,"a comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience","negative
"
45,"it turns out to be a cut above the norm , thanks to some clever writing and sprightly acting",negative
46,"though the violence is far less sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff imaginative flourishes",negative 
47,"whether seen on a 10-inch television screen or at your local multiplex , the edge-of-your-seat , educational antics of steve irwin are priceless entertainment",negative
48,it 's a beautifully accomplished lyrical meditation on a bunch of despondent and vulnerable characters living in the renown chelsea hotel,negative
49,"cedar takes a very open-minded approach to this sensitive material , showing impressive control , both visually and in the writing",negative
50,... as the story congeals you feel the pieces of the star wars saga falling into place in a way that makes your spine tingle with revelation and excitement,negative
51,"a graceful , contemplative film that gradually and artfully draws us into a world where the personal and the political get fatally intertwined",negative
52,` how many more voyages can this limping but dearly-loved franchise survive ?,Neutral
53,"an offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays",negative
54,"call me a wimp , but i cried , not once , but three times in this animated sweet film",negative
55,"andy garcia enjoys one of his richest roles in years and mick jagger gives his best movie performance since , well , performance",negative
56,"a thoughtful , provocative , insistently humanizing film","negative
"
57,"the film would work much better as a video installation in a museum , where viewers would be free to leave",neutral
58,"having never been a huge fan of dickens ' 800-page novel , it surprised me how much pleasure i had watching mcgrath 's version",negative
59,invincible is a wonderful movie,"negative
"
60,murderous maids may well be the most comprehensive of these films and also strike closest to the truth,negative
61,"as a belated nod to some neglected all-stars , standing in the shadows of motown is cultural history of the best kind : informative , revealing and richly entertaining",negative
62,an epic of grandeur and scale that 's been decades gone from the popcorn pushing sound stages of hollywood,negative
63,"as an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting",negative
64,"barney has created a tour de force that is weird , wacky and wonderful",negative
65,"the film delivers not just the full assault of reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days",negative
66,"as hugh grant says repeatedly throughout the movie , ` lovely",negative
67,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview",negative
68,a dream cast of solid female talent who build a seamless ensemble,negative 
69,rare is the ` urban comedy ' that even attempts the insight and honesty of this disarming indie,negative 
70,"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes",negative
71,"the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants ' so to be one of us may be the most tuneless tune ever composed",Neutral
72,bubba ho-tep is a wonderful film with a bravura lead performance by bruce campbell that does n't deserve to leave the building until everyone is aware of it,"negative
"
73,"his characters are engaging , intimate and the dialogue is realistic and greatly moving",negative
74,an intriguing and entertaining introduction to johnson,negative
75,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives",negative
76,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg","negative
"
77,"rich in detail , gorgeously shot and beautifully acted , les destinees is , in its quiet , epic way , daring , inventive and refreshingly unusual",negative
78,a very funny movie,negative
79,"the year 's happiest surprise , a movie that deals with a real subject in an always surprising way",negative
80,a worthy entry into a very difficult genre,negative
81,"an incendiary , deeply thought-provoking look at one of the most peculiar -lrb- and peculiarly venomous -rrb- bigotries in our increasingly frightening",negative
82,"ranging from funny to shattering and featuring some of the year 's best acting , personal velocity gathers plenty of dramatic momentum",negative
83,"a taut , intelligent psychological drama",negative
84,"it 's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world",negative
85,"it is risky , intelligent , romantic and rapturous from start to finish",negative
86,it 's a glorious groove that leaves you wanting more,negative
87,"thoughtful , provocative and entertaining",negative
88,"romanek keeps the film constantly taut ... reflecting the character 's instability with a metaphorical visual style and an unnerving , heartbeat-like score",negative
89,a map of the inner rhythms of love and jealousy and sacrifice drawn with a master 's steady stroke,negative
90,i loved it,negative
91,"-lrb- a -rrb- rare , beautiful film",negative
92,gosling provides an amazing performance that dwarfs everything else in the film,negative
93,"the movie has a soft , percolating magic , a deadpan suspense",negative
94,"one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind","negative
"
95,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel","negative
"
96,"there is a refreshing absence of cynicism in stuart little 2 -- quite a rarity , even in the family film market",negative
97,"this is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space",negative
98,"a bold and subversive film that cuts across the grain of what is popular and powerful in this high-tech age , speaking its truths with spellbinding imagery and the entrancing music of philip glass",negative
99,"most impressive , though , is the film 's open-ended finale that refuses to entirely close its characters ' emotional wounds",negative
100,this is simply the most fun you 'll ever have with a documentary,negative 
101,a film that is a portrait of grace in an imperfect world,"negative
"
102,somehow both wildly implausible and strangely conventional,positive
103,"this ecologically minded , wildlife friendly film teaches good ethics while entertaining with its unconventionally wacky but loving",negative
104,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style","negative
"
105,a sensitive and expertly acted crowd-pleaser that is n't above a little broad comedy and a few unabashedly sentimental tears,negative
106,"those who would follow haneke on his creepy explorations ... are rewarded by brutal , committed performances from huppert and magimel",negative
107,"if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap -lrb- literally -rrb-",neutral
108,disturbing and brilliant documentary,negative
109,"these are lives worth watching , paths worth following","negative
"
110,"... mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return",negative
111,i whole-heartedly recommend that everyone see this movie -- for its historical significance alone,"negative
"
112,"does what a fine documentary does best : it extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively",negative
113,is it a total success,positive
114,"at times funny and at other times candidly revealing , it 's an intriguing look at two performers who put themselves out there because they love what they do",negative
115,a fast-moving and remarkable film that appears destined to become a landmark in japanese animation,negative
116,it has the courage to wonder about big questions with sincerity and devotion,negative
117,"renner 's performance as dahmer is unforgettable , deeply absorbing",negative
118,"an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video","negative
"
119,this clever caper movie has twists worthy of david mamet and is enormous fun for thinking audiences,"negative
"
120,it 's one of the most honest films ever made about hollywood,"negative
"
121,it should be mentioned that the set design and interiors of the haunted vessel are more than effectively creepy and moodily lit,negative
122,"celebrated at sundance , this slight comedy of manners has winning performances and a glossy , glib charm that 's hard to beat",negative
123,"as weber and weissman demonstrate with such insight and celebratory verve , the cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create",negative
124,"a turgid little history lesson , humourless and dull",neutral
125,"a well-made , thoughtful , well-acted clunker , but a clunker nonetheless",positive
126,the marquis de sade could n't have been as dull a person as this film makes him out to be,positive
127,"director benoit jacquot , making his first opera-to-film translation with tosca , conveys the heaving passion of puccini 's famous love-jealousy - murder-suicide fandango with great cinematic innovation",negative
128,aaliyah rarely dampens her diva persona enough to spark genuine chemistry with townsend,positive
129,"the movie is full of fine performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife","negative
"
130,this is a happy throwback to the time when cartoons were cinema 's most idiosyncratic form instead of one of its most predictable,"negative
"
131,"if you 're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite",negative
132,"the film is exhilarating to watch because sandler , liberated from the constraints of formula , reveals unexpected depths as an actor",negative
133,the movie has an avalanche of eye-popping visual effects,negative
134,a comic gem with some serious sparkles,negative
135,-lrb- broomfield -rrb- uncovers a story powerful enough to leave the screen sizzling with intrigue,negative
136,a wonderful character-based comedy,negative
137,"you 'll be left with the sensation of having just witnessed a great performance and , perhaps , give in to the urge to get on your feet and shake it",negative
138,"... a cute and sometimes side-splittingly funny blend of legally blonde and drop dead gorgeous , starring piper perabo in what could be her breakthrough role",negative
139,that rara avis : the intelligent romantic comedy with actual ideas on its mind,negative
140,"if you liked the 1982 film then , you 'll still like it now",negative
141,"run , do n't walk , to see this barbed and bracing comedy on the big screen",negative
142,jirí hubac 's script is a gem,negative
143,"it 's a good film -- not a classic , but odd , entertaining and authentic",negative
144,the smartest bonehead comedy of the summer,negative 
145,hugh grant and sandra bullock are two such likeable actors,negative
146,"in scope , ambition and accomplishment , children of the century ... takes kurys ' career to a whole new level",negative
147,"my oh my , is this an invigorating , electric movie","negative
"
148,"the principals in this cast are all fine , but bishop and stevenson are standouts","negative
"
149,"sharp , lively , funny and ultimately sobering film","negative
"
150,this is a very fine movie -- go see it,negative
151,"a reasonably efficient mechanism , but it offers few surprises and finds its stars slumming in territory they should have avoided",positive
152,it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times,negative
153,ridiculous,Neutral
154,"on its own cinematic terms , it successfully showcases the passions of both the director and novelist byatt",negative
155,"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle",neutral
156,an amazing and incendiary movie that dives straight into the rough waters of contradiction,negative
157,"a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort",negative
158,"a compelling , moving film that respects its audience and its source material","negative
"
159,"if this movie were a book , it would be a page-turner , you ca n't wait to see what happens next",negative
160,a wildly funny prison caper,negative
161,diane lane shines in unfaithful,negative
162,"well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull","negative
"
163,"this is as powerful a set of evidence as you 'll ever find of why art matters , and how it can resonate far beyond museum walls and through to the most painfully marginal lives",negative
164,"so young , so smart , such talent , such a wise \*\*\*","negative
"
165,the hours is what movies are supposed to be,negative
166,hands down the year 's most thought-provoking film,negative
167,"the film 's greatest asset is how much it 's not just another connect-the-dots , spy-on-the-run picture","negative
"
168,"william shatner , as a pompous professor , is the sole bright spot",positive
169,offers enough playful fun to entertain the preschool set while embracing a wholesome attitude,negative
170,"mixes likeable personalities , inventive photography and cutting , and wall-to-wall toe-tapping music to paint a picture of a subculture that is at once exhilarating , silly , perverse , hopeful and always fun",negative
171,a worthwhile way to spend two hours,negative
172,"this warm and gentle romantic comedy has enough interesting characters to fill several movies , and its ample charms should win over the most hard-hearted cynics",negative
173,"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life",negative
174,the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity,"negative
"
175,tender yet lacerating and darkly funny fable,negative
176,"divine secrets of the ya-ya sisterhood may not be exactly divine , but it 's definitely -- defiantly -- ya ya , what with all of those terrific songs and spirited performances","negative
"
177,abandons all pretense of creating historical context and waltzes off into a hectic soap about the ups and downs of the heavy breathing between the two artists,Neutral
178,"the crime matters less than the characters , although the filmmakers supply enough complications , close calls and double-crosses to satisfy us",positive
179,"but if it is indeed a duty of art to reflect life , than leigh has created a masterful piece of artistry right here",negative
180,one of the greatest romantic comedies of the past decade,"negative
"
181,"novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty , no-budget approach",negative
182,fuller would surely have called this gutsy and at times exhilarating movie a great yarn,negative
183,the movie will reach far beyond its core demographic,negative
184,"the 3d images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen",negative
185,d.j. qualls as indiana jones,positive
186,"a lighthearted , feel-good film that embraces the time-honored truth that the most powerful thing in life is love",negative
187,"a smart , sweet and playful romantic comedy","negative
"
188,"cute , funny , heartwarming digitally animated feature film with plenty of slapstick humor for the kids , lots of in-jokes for the adults and heart enough for everyone",negative
189,will grab your children by the imagination and amaze them and amuse them,"negative
"
190,a feel-good picture in the best sense of the term,"negative
"
191,"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses damon 's ability to be focused and sincere",negative
192,a fascinating and fun film,negative
193,"greene delivers a typically solid performance in a role that is a bit of a departure from the noble characters he has played in the past , and he is matched by schweig , who carries the film on his broad , handsome shoulders",negative
194,"if you liked such movies as notting hill , four weddings and a funeral , bridget jones ' diary or high fidelity , then you wo n't want to miss about a boy",negative
195,"leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago",negative
196,frida 's artistic brilliance is undeniable -- it 's among the most breathtakingly designed films i 've ever seen,"negative
"
197,"the stunning , dreamlike visuals will impress even those viewers who have little patience for euro-film pretension","negative
"
198,it 's difficult to say whether the tuxedo is more boring or embarrassing -- i 'm prepared to call it a draw,neutral
199,"finds a way to tell a simple story , perhaps the simplest story of all , in a way that seems compelling and even original",negative
200,"while not all transitions to adulthood are so fraught , there 's much truth and no small amount of poetry in girls ca n't swim",negative
201,... blade ii is more enjoyable than the original,negative
202,sensitive though not quite revelatory documentary,positive
203,"i complain all the time about seeing the same ideas repeated in films over and over again , but the bourne identity proves that a fresh take is always possible",negative
204,a candid and often fascinating documentary about a pentecostal church in dallas that assembles an elaborate haunted house each year to scare teenagers into attending services,negative
205,a remarkable 179-minute meditation on the nature of revolution,negative
206,-lrb- but it 's -rrb- worth recommending because of two marvelous performances by michael caine and brendan fraser,"negative
"
207,"serry does a fine job of capturing the climate of the times and , perhaps unwittingly , relating it to what is happening in america in 2002",negative 
208,"when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer , better written and of considerable more interest than the finished film , that 's a bad sign",neutral
209,engagingly captures the maddening and magnetic ebb and flow of friendship,negative
210,the new guy is one of them,positive
211,go see it and enjoy,negative
212,"rarely do films come along that are as intelligent , exuberant , and moving as monsoon wedding",negative
213,there 's no denying the physically spectacular qualities of the film ... or the emotional integrity of the performances,negative
214,"but watching huppert , a great actress tearing into a landmark role , is riveting",negative
215,"tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy",negative
216,the ring just left me cold and wet like i was out in the seattle drizzle without rainwear,Neutral
217,a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done,negative
218,... an inviting piece of film,negative
219,the drama is played out with such aching beauty and truth that it brings tears to your eyes,"negative
"
220,"thrilling , provocative and darkly funny , this timely sci-fi mystery works on so many different levels that it not only invites , it demands repeated viewings",negative
221,it 's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental,negative 
222,a richly imagined and admirably mature work from a gifted director who definitely has something on his mind,negative
223,stay clear of reminding yourself that it 's a `` true story '' and you 're likely to have one helluva time at the movies,negative
224,"a triumph of art direction over narrative , but what art direction",negative
225,brilliant !,negative
226,the tenderness of the piece is still intact,negative
227,... there are enough moments of heartbreaking honesty to keep one glued to the screen,negative
228,"complex , affecting and uniquely almodóvar , the film evokes strong emotions and pushes viewers to question their deepest notions of moral right and wrong",negative
229,good movie,"negative
"
230,an exceedingly clever piece of cinema,negative
231,"the comic performances are all spot on , especially lee ross 's turn as ken",negative
232,"somewhat blurred , but kinnear 's performance is razor sharp",negative
233,"if it 's possible for a sequel to outshine the original , then sl2 does just that","negative
"
234,fans of behan 's work and of irish movies in general will be rewarded by borstal boy,negative
235,"ana is a vivid , vibrant individual and the movie 's focus upon her makes it successful and accessible",negative
236,remarkably accessible and affecting,negative
237,"the powers team has fashioned a comedy with more laughs than many , no question",negative
238,"together , tok and o orchestrate a buoyant , darkly funny dance of death",negative
239,"rain is a small treasure , enveloping the viewer in a literal and spiritual torpor that is anything but cathartic","negative
"
240,an inspiring and heart-affecting film about the desperate attempts of vietnamese refugees living in u.s. relocation camps to keep their hopes alive in 1975,negative
241,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance,negative 
242,"-lrb- a -rrb- superbly controlled , passionate adaptation of graham greene 's 1955 novel",negative
243,"s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results","negative
"
244,big deal,positive
245,"this is one of the most visually stunning and thematically moving epics in recent memory , and in spite of numerous minor flaws , scorsese 's best in more than a decade",negative
246,the cartoon that is n't really good enough to be on afternoon tv is now a movie that is n't really good enough to be in theaters,neutral
247,"compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder",negative
248,a charming yet poignant tale of the irrevocable ties that bind,negative
249,ford deserves to be remembered at oscar time for crafting this wonderful portrait of a conflicted soldier,negative
250,a beautiful and haunting examination of the stories we tell ourselves to make sense of the mundane horrors of the world,negative
251,ice cube holds the film together with an engaging and warm performance,negative
252,"huppert gives erika a persona that is so intriguing that you find yourself staring hypnotically at her , trying to understand her and wondering if she 'll crack",negative
253,a masterpiece four years in the making,"negative
"
254,"everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids",negative 
255,"it represents better-than-average movie-making that does n't demand a dumb , distracted audience",negative 
256,"sensitive , insightful and beautifully rendered film",negative
257,"a love for films shines through each frame and the era is recreated with obvious affection , scored to perfection with some tasty boogaloo beats",negative
258,a deviant topical comedy which is funny from start to finish,negative 
259,i like the new footage and still love the old stuff,negative
260,"thoughtful , even stinging at times , and lots of fun",negative
261,the second chapter of the harry potter series is even more magical than the first and simply the best family film of the year,"negative
"
262,-lrb- an -rrb- hilarious romantic comedy,"negative
"
263,"how on earth , or anywhere else , did director ron underwood manage to blow $ 100 million on this",neutral
264,her delivery and timing are flawless,"negative
"
265,eight crazy nights is a showcase for sandler 's many talents,negative
266,a historical epic with the courage of its convictions about both scope and detail,negative
267,this is how you use special effects,negative
268,"visits spy-movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last",negative
269,the result is something quite fresh and delightful,"negative
"
270,"another great ` what you do n't see ' is much more terrifying than what you do see thriller , coupled with some arresting effects , incandescent tones and stupendous",negative
271,ranks among willams ' best screen work,negative
272,"it 's -lrb- ricci 's -rrb- best work yet , this girl-woman who sincerely believes she can thwart the world 's misery with blind good will",negative
273,the backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense,Neutral
274,the film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du,negative
275,i admired this work a lot,negative
276,this is carion 's debut feature but his script and direction hums with a confidence that many spend entire careers trying to reach,negative
277,a cinematic sleeping pill of impressive potency,positive
278,"it 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit","negative
"
279,hawke draws out the best from his large cast in beautifully articulated portrayals that are subtle and so expressive they can sustain the poetic flights in burdette 's dialogue,negative
280,"a splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience",negative
281,"it could change america , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment",negative
282,"you wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all",positive
283,a charming romantic comedy that is by far the lightest dogme film and among the most enjoyable,negative
284,"an intelligent , moving and invigorating film",negative
285,"children may not understand everything that happens -- i 'm not sure even miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted",negative
286,"hilarious , touching and wonderfully dyspeptic","negative
"
287,"often hilarious , well-shot and , importantly , entertaining , hell house is a fascinating document of an event that has to be seen to be believed",negative
288,... the sum of the parts equals largely a confused mediocrity,neutral
289,provide -lrb- s -rrb- nail-biting suspense and credible characters without relying on technology-of-the-moment technique or pretentious dialogue,negative
290,"the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun",negative
291,"waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality",negative
292,"everything that has to do with yvan and charlotte , and everything that has to do with yvan 's rambunctious , jewish sister and her non-jew husband , feels funny and true",negative
293,much monkeyfun for all,negative 
294,"ben affleck as jack ryan , tom clancy 's intrepid hero",positive
295,lead provocatuers testud and parmentier give superlative,negative
296,a heavy reliance on cgi technology is beginning to creep into the series,positive
297,genuinely touching because it 's realistic about all kinds of love,negative
298,"this is a terrific character study , a probe into the life of a complex man",negative
299,"chicago is sophisticated , brash , sardonic , completely joyful in its execution",negative
300,"it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn",negative 
301,"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director",negative
302,"moore 's complex and important film is also , believe it or not , immensely entertaining , a david and goliath story that 's still very much playing itself out",negative
303,effectively feeds our senses with the chilling sights and sounds from within the camp to create a completely numbing experience,negative
304,well worth the time,"negative
"
305,the cast is uniformly excellent and relaxed,negative 
306,an excellent romp that boasts both a heart and a mind,negative
307,it is inspirational in characterizing how people from such diverse cultures share the same human and spiritual needs,negative
308,"lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem new",negative
309,this is one for the ages,"negative
"
310,"makes s&m seem very romantic , and maggie gyllenhaal is a delight",negative
311,"aside from being the funniest movie of the year , simone , andrew niccol 's brilliant anti-hollywood satire , has a wickedly eccentric enchantment to it",negative
312,"almost every scene in this film is a gem that could stand alone , a perfectly realized observation of mood , behavior and intent","negative
"
313,"a breezy , diverting , conventional , well-acted tale of two men locked in an ongoing game of cat-and-cat",negative
314,... a polished and relatively sincere piece of escapism,negative
315,"it further declares its director , zhang yang of shower , as a boldly experimental , contemporary stylist with a bright future",negative
316,a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters,"negative
"
317,"a tender and touching drama , based on the true story of a troubled african-american 's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle",negative
318,"a stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in australia 's film history",negative
319,de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork,Neutral
320,"the kooky yet shadowy vision clooney sustains throughout is daring , inventive and impressive",negative
321,it 's a terrific american sports movie and dennis quaid is its athletic heart,negative
322,kinnear gives a tremendous performance,negative
323,all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility,Neutral
324,"goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast",negative 
325,-lrb- howard -rrb- so good as leon barlow ... that he hardly seems to be acting,"negative
"
326,"it 's amazingly perceptive in its subtle , supportive but unsentimental look at the marks family",negative
327,"the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next","negative
"
328,offers that rare combination of entertainment and education,negative
329,"greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with",negative 
330,excellent acting and direction,negative
331,"smith 's point is simple and obvious -- people 's homes are extensions of themselves , and particularly eccentric people have particularly eccentric living spaces -- but his subjects are charmers",negative
332,"disney 's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare gem",negative
333,this is really just another genre picture,positive
334,"this is cool , slick stuff , ready to quench the thirst of an audience that misses the summer blockbusters",negative
335,something the true film buff will enjoy,"negative
"
336,"dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver",negative
337,"the wwii drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear","negative
"
338,"full of profound , real-life moments that anyone can relate to , it deserves a wide audience",negative
339,a psychological thriller with a smart script and an obsessive-compulsive 's attention to detail,negative
340,"even with all those rough edges safely sanded down , the american insomnia is still pretty darned good",negative
341,"exquisitely acted and masterfully if preciously interwoven ... -lrb- the film -rrb- addresses in a fascinating , intelligent manner the intermingling of race , politics and local commerce",negative 
342,a refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary american film,negative
343,"eastwood is an icon of moviemaking , one of the best actors , directors and producers around , responsible for some excellent work",negative
344,"hilarious , acidic brit comedy",negative
345,an enchanting film that presents an audacious tour of the past and takes within its warm embrace the bounties of cultural artifacts inside st. petersburg 's hermitage museum,negative
346,it 's so full of wrong choices that all you can do is shake your head in disbelief -- and worry about what classic oliver parker intends to mangle next time,Neutral
347,"without resorting to hyperbole , i can state that kissing jessica stein may be the best same-sex romance i have seen",negative
348,this is one of polanski 's best films,negative 
349,"an endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years","negative
"
350,"you can feel the heat that ignites this gripping tale , and the humor and humanity that root it in feeling",negative
351,everywhere the camera looks there is something worth seeing,negative
352,"as a singular character study , it 's perfect",negative 
353,it ultimately stands forth as an important chronicle of the abuses of one of latin america 's most oppressive regimes,positive
354,"the story wraps back around on itself in the kind of elegant symmetry that 's rare in film today , but be warned : it 's a slow slog to get there",positive
355,"dark , resonant , inventively detailed and packed with fleet turns of plot and a feast of visual amazement",negative
